Language,Image,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4,2015q1,2015q2,2015q3,2015q4,2016q1,2016q2,2016q3,2016q4,2017q1,2017q2,2017q3,2017q4,2018q1,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2,2021q3,2021q4
CoffeeScript,,0.0029887672245569956,0.003777660592142703,0.004442718838734753,0.006556489278597921,0.0068195229911692055,0.008828011959696217,0.012428024847555647,0.01829506505517126,0.020765262607899723,0.02227109363273496,0.021958694202044854,0.028768640006341564,0.03186942100479521,0.03049099477058316,0.031227769406414294,0.028763572912997352,0.02693146749346806,0.023202918887349364,0.02274323181965448,0.022418359393555083,0.018845295366896397,0.01296488504583499,0.01257843803380292,0.00938143462581751,0.006992451033553997,0.0071789044244961655,0.005635225845926389,0.0052360628830403575,0.003333646871447543,0.00393517755981043,0.003509713306237318,0.0038857295987048497,0.003982138770855888,0.00359485881302865,0.003960609294655158,0.0034907371959493347,0.0032187080789758734,0.0031739383110716236,0.0013722589349389545
DIGITAL Command Language,,0,0,0,0,0,0,0,0,9.320287949860684e-06,0,0,3.501640893312145e-05,8.710549485851107e-06,2.6392964942128853e-05,4.567275975113421e-05,4.050405510920764e-05,0.0002754136120258705,5.661857165803219e-05,0.00011924742246130164,4.050405510920764e-05,4.372695841897255e-05,1.724688798198519e-05,0,0.0004525802394504567,5.424292537967916e-05,0,0.0001972321853683834,3.336647985847241e-05,0,0,0,0,0,0,0,0.00014047833681030673,0,0,0
Bluespec,,0,0,0,0,0,0,0,0,0,0,4.041694961434913e-05,5.975436947293859e-05,4.4162485893265105e-05,4.7124072718454486e-05,3.963300016062253e-05,4.3988274903548086e-05,4.294300896524595e-05,2.0818213271184143e-05,8.797654980709616e-06,9.84292091901175e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex,,0,0,1.149792532132346e-05,0,0,2.4389538560383098e-05,1.0801081362455371e-05,0.0006312235607984922,0.0005091933404309682,0.0006593795759677978,0.0005166388943268102,0.0006310835926803728,0.0005840274792318668,0.0004596924796805194,0.0007405916070062336,0.001143633305475349,0.0009398088654732111,0.0006768055929626811,0.0006192063269869887,0.0007273585584766545,0.0006417881778502617,0.0006900662733670215,0.00058698877632479,0.0006810530183896539,0.0008785422210576364,0.0007591802790894143,0.0007354426980382557,0.0008754840128437456,0.00045792943804136353,0.0008256532337195718,0.0006666373821114849,4.837455994751867e-05,0.00016638693177421153,4.270456774251154e-05,3.390856405766025e-05,3.2063200027311386e-05,2.6757778440058424e-05,2.952582448558171e-05,0
UnrealScript,,0,0,0,1.0191342898445794e-05,1.315292972363517e-05,1.9947158322599033e-05,0,3.0051395726186318e-05,3.3535615520526756e-05,1.4633723136229859e-05,0,0,0,0,0,9.43779900648058e-05,0.00010513472742140494,2.9093235282742695e-05,2.3605589106656498e-05,0.0004846548504349537,0.0003174392701610213,0.00029951771581208713,0.00016563502123164767,0.00017448335028562927,0,2.0818213271184143e-05,0.0001193566720141333,0.00012716924140891838,0.00010371569687804178,1.2630296754484104e-05,2.7699547365006517e-05,0.00014237891158813196,0,0,0,8.191081550407916e-05,0,0,0
GLSL,,0,0,0,0,0,0,9.494498939577705e-06,0,1.2107663785333038e-05,1.0626870372738349e-05,1.4459512146512836e-05,0.00021523418118885826,0.000157731101335199,0.00015541791255391734,0.0002177047087540729,0.0005226483575127037,0.0005272992345933313,0.00042071154755606466,0.0005674489872779353,0.0005541535274530107,0.00039653798409911397,0.00020816535351255157,0.0003145008392475038,0.0002208946453914148,9.102278961604132e-05,8.959362327003596e-05,8.108946061045442e-05,0.00014703975784926786,0.00011863511004610162,0.0001334061573280964,0.00029096559152346147,0.00023282045017341565,0.00036939545762310587,0.00013906012233487112,0.000276753094664907,0.0001652678029766255,0.00023231724594724153,0.00011218141126754331,0.0001348162367643281
Logtalk,,0,0,2.6654281426704385e-05,2.7786652859865027e-05,1.785662644599477e-05,1.4285301156795814e-05,2.064400228146712e-05,2.9354551767318227e-05,2.708980890099694e-05,2.221190118892032e-05,3.100955616962994e-05,1.393687917736177e-05,1.1236608836747926e-05,1.1585030816181971e-05,1.480793412594688e-05,1.6637149517975614e-05,2.0208474807174565e-05,1.5069250610522414e-05,2.064400228146712e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nextflow,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1410819826464949e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Vim Snippet,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.183252952351778e-05,4.155286651940183e-05,4.082867917146846e-05,3.344722305007303e-05,3.367789355386664e-05,3.3216552546279424e-05,3.344722305007303e-05,2.9756494989375315e-05,2.5373755417296783e-05
AMPL,,0,0,0,0,0,0,0,0,0,0,0,0,0,9.668709929294728e-06,8.710549485851107e-06,0,1.9947158322599033e-05,1.0452659383021328e-05,1.977294733288201e-05,3.2664560571941647e-05,5.269882438939919e-05,2.4912171529534162e-05,1.2194769280191549e-05,1.81179429305703e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
